Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Avg Packet Size,Avg Fwd Segment Size
192.168.1.102,515,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,179,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5190,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,144,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,8008,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,2717,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,3986,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,543,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,873,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,2121,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,514,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,49154,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,6001,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5060,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,9999,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,544,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,49155,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,8009,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,6646,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,32768,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1433,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,631,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,444,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,4899,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1900,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
